
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Yeni
dialog_load                             Yükle
dialog_save                             Kaydet
dialog_saveas                           Farklı Kaydet
dialog_delete                           Sil
dialog_width                            Genişlik
dialog_height                           Yükseklik
dialog_name                             İsim
dialog_type                             Tür
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             Çıkış
dialog_cancel                           İptal
dialog_ok                               Ok
dialog_open                             Aç
dialog_close                            Kapat
dialog_closed                           Kapalı
dialog_add                              Ekle
dialog_up                               Yukarı
dialog_down                             Aşağı
dialog_yes                              Evet
dialog_no                               Hayır
dialog_loading                          Yükleniyor...
dialog_low                              Düşük
dialog_medium                           Orta
dialog_high                             Yüksek
dialog_none                             Yok
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Diyalog Editörü
dialogeditor_back                       Geri
dialogeditor_front                      İleri
dialogeditor_reloadlanguage             Dil'i Yeniden Yükle
dialogeditor_test                       Test
dialogeditor_window                     Pencere
dialogeditor_grid                       Şebeke
dialogeditor_caption                    Alt yazı
dialogeditor_component                  Component
dialogeditor_select						Seç
dialogeditor_create						Oluştur
dialogeditor_background                 Arkaplan Görseli.
dialogeditor_panel                      Panel

dialogcomponent_custom                  Özel
dialogcomponent_button                  Tuş
dialogcomponent_container               Konteyner
dialogcomponent_caption                 Alt yazı
dialogcomponent_titlecaption            Başlık
dialogcomponent_checkbox                Onay kutusu
dialogcomponent_inputfield              GirişAlanı
dialogcomponent_inputslider             GirişKaydırıcı
dialogcomponent_dropdownmenu            AçılanMenü
dialogcomponent_selectionlist           SeçimListesi
dialogcomponent_selectionlistitem       SeçimListesiEşyalar
dialogcomponent_scrollbar               Kaydırma çubuğu
dialogcomponent_progressbar             İlerleme çubuğu
dialogcomponent_canvas                  Kanvas
dialogcomponent_iconbox					SimgeKutusu

dialogposition_absolute                 Mutlak
dialogposition_relative                 Değişken
dialogposition_scaled                   Ölçekli


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Profiler
profiler_name                           İsim
profiler_timings                        Zamanlamalar
profiler_totaltime                      Toplam
profiler_glfinishcaption                glBitiriş
profiler_reset                          Sıfırlama


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Ses Kanalları
soundeditor_title                       Ses Editörü
soundinstanceeditor_title				Ses Oluşum Editörü

soundeditor_positiontitle		        Konum Türü
soundeditor_instancetitle		        Oluşum Türü
soundeditor_looptitle			        Döngü Türü
soundeditor_sourcetypetitle		        Ses Türü
soundeditor_soundnametitle		        Ses Adı

soundeditor_volumetitle			        Ses Düzeyi
soundeditor_frequencytitle              Frekans
soundeditor_mindistancetitle            Minimum Uzaklık
soundeditor_attacktitle                 Atak
soundeditor_sustaintitle                Sürdürme
soundeditor_releasetitle                Salma
soundeditor_loopdelaytitle              Döngü Gecikmei
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Sonraki Etkinlik

soundeditor_play                        Oynat
soundeditor_stop                        Durdur

soundparametereditor_title              Ses Parametresi
soundparametereditor_typetitle          Tür
soundparametereditor_linktitle          Bağlanmış
soundparametereditor_updatetitle        Güncelleme Türü
soundparametereditor_smoothing          Yumuşatma
soundparametereditor_chaintitle         Zincir

soundeditor_newdsp                      DSP Ekle
sounddspeditor_title                    DSP Editörü
samplebankeditor_title                  Örnek Bankası Editörü
samplebankeditor_addsample              Ses Ekle
samplebank                              (Örnek Bankası)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Bitir
interfacemode_destroy                         Yok Et
interfacemode_foundations				      Temeller
interfacemode_construction                    Materyaller
interfacemode_planning                        Planlama
interfacemode_objects                         Nesneler
interfacemode_designation                     Odalar
interfacemode_utilities                       Araçlar
interfacemode_staff                           Personel
interfacemode_deployment                      Konuşlandırma
interfacemode_logistics                       Lojistik
interfacemode_prisoners                       Mahkumlar
interfacemode_needs                           İhtiyaçlar
interfacemode_threats                         Tehditler
interfacemode_overlays                        Kaplamalar
interfacemode_research                        Bürokrasi
interfacemode_emergencies                     Acil yardımlar
interfacemode_clone                           Klonlama
interfacemode_contraband                      İstihbarat
interfacemode_grading                         Derecelendirme
interfacemode_spawn                           (Doğma)
interfacemode_properties                      (Özellikler)
interfacemode_cutscenes                       (Ara Sahneler)
interfacemode_selection                       Seç
interfacemode_prefabs                         Hızlı İnşaat

interfaceoverlay_security                       Güvenlik
interfaceoverlay_patrols                        Devriyeler
interfaceoverlay_decay                          Bozulma
interfaceoverlay_territory                      Bölge
interfaceoverlay_contraband                     Kaçak mal

interfaceproperty_indoor                        Bina içi
interfaceproperty_visible                       Görünür
interfaceproperty_territoryprisoner             Çeteler
interfaceproperty_territoryguard                Korumalar
interfaceproperty_sectorprisoner                İsyan
interfaceproperty_tunnel                        Tünel


interfacedeployment_removeguards                Güvenlikleri Kaldır
interfacedeployment_clearpatrols                Devriyeleri Sil
interfacedeployment_targetting                  Lojistikler
interfacedeployment_targettingfood              Yiyecek Lojistikleri
interfacedeployment_targettinglaundry           Çamaşırhane Lojistikleri
interfacedeployment_securearea                  GüvenliBölge
interfacedeployment_sharedzone                  Paylaşımlı alan
interfacedeployment_staffonlyzone               Yalnızca Personel
interfacedeployment_maxseczone                  Yalnızca Maks Güv
interfacedeployment_medseczone                  Yalnızca Orta Güv
interfacedeployment_minseczone                  Yalnızca Min Güv
interfacedeployment_protectedzone               Yalnızca İhtiyati
interfacedeployment_supermaxzone                Yalnızca SüperMaks
interfacedeployment_deathrowzone                Yalnızca Ölüm-Mahkumları
interfacedeployment_unlockedzone                Erişime açık bölge
interfacedeployment_zonered                     Kırmızı Kanat
interfacedeployment_zonegreen                   Yeşil Kanat
interfacedeployment_zoneblue                    Mavi Kanat
interfacedeployment_zoneyellow                  Sarı Kanat
interfacedeployment_zoning                      Bölgeleme
interfacedeployment_accessonly					Yalnızca Erişimli
interfacedeployment_prisonerdirection			Mahkum İstikameti
interfacedeployment_staffdirection				Diğerleri İstikameti

interfacelogistics_jobs                         İşçi Mahkum
interfacelogistics_removejobs                   İşçi'yi Kaldır
interfacelogistics_targettingfood               Yiyecek Dağıtımı
interfacelogistics_targettinglaundry            Çamaşırhane Dağıtımı
interfacelogistics_roomquality                  Oda Kalitesi
interfacelogistics_weathermap                   Sıcaklık

interfaceplanning_wall							Duvarlar
interfaceplanning_object					    Nesneler
interfaceplanning_route							Patikalar
interfaceplanning_clear							Temizle
interfaceplanning_zone1							Bölge 1
interfaceplanning_zone2							Bölge 2
interfaceplanning_zone3							Bölge 3
interfaceplanning_zone4							Bölge 4
interfaceplanning_zone5							Bölge 5
interfaceplanning_zone6							Bölge 6
interfaceplanning_zone7							Bölge 7
interfaceplanning_zone8							Bölge 8
interfaceplanning_zone9							Bölge 9

interfacecontraband_source                      Tehlikeler
interfacecontraband_day                         -24 Saat
interfacecontraband_week                        -7 Gün
interfacecontraband_alltime                     -30 Gün
interfacecontraband_stolenfrom			        Tarafından Çalındı
interfacecontraband_informants                  Köstebekler
interfacecontraband_gangs                       Çeteler

interfacecallout_fireengine                     İtfaiye Aracı
interfacecallout_riotpolice                     Çevik Kuvvet
interfacecallout_armedpolice                    Silahlı Kuvvet
interfacecallout_paramedics                     Sağlık Görevlisi
interfacecallout_soldiers                       Asker

interfaceclone_copy                             Kopyala
interfaceclone_paste                            Yapıştır
interfaceclone_cancel                           Hızlı Kurulumu Iptal Et
interfaceclone_clone                            Klonla

interfacetopbar_todo							Yapılacaklar
interfacetopbar_balance							Banka *B
interfacetopbar_budget							Nakit Akışı *C
interfacetopbar_income							Gelir *I
interfacetopbar_expenses						Harcamalar *C
interfacetopbar_day								GÜN *D

interfacetopbar_title_balance					Banka Bakiyesi
interfacetopbar_title_budget					Günlük Para Akışı
interfacetopbar_title_cctv						CCTV
interfacetopbar_title_day						Gün
interfacetopbar_title_prisoners					Mahkumlar
interfacetopbar_title_guards					Korumalar
interfacetopbar_title_tension                   Tehlike
interfacetopbar_title_weathericon               Hava Durumu

interfacetopbar_tooltip_balance					Bankanızda ne kadar nakit para bulunduğu.\n\nHibeler vasıtasıyla daha fazla fon yaratmak için tıklayın.
interfacetopbar_tooltip_budget					Gelir ve giderleriniz baz alınarak, günlük alacağınız para miktarı.\n\nGelir ve giderlerinizin daha detaylı bir finansal analizi için tıklayın. 
interfacetopbar_tooltip_cctv					Sahip olduğunuz CCTV kamera ve ekran miktarı.
interfacetopbar_tooltip_day						Ne kadar süre boyunca hapishaneyi yürüttüğünüz.
interfacetopbar_tooltip_prisoners				Mevcut mahkum miktarınız, ve ne kadar makhumu hapishanenizde ağırlayabildiğiniz.
interfacetopbar_tooltip_guards					Ne kadar korumanın iş yapmak için mevcut bulunduğu.
interfacetopbar_tooltip_tension                 Emniyet amiri'ne göre hapishanenizin genel tehlike durumu.
interfacetopbar_tooltip_weathericon             Mevcut hava durumu ve sıcaklık.

interfacetopbar_tooltip_recenttransactions      En Sonki İşlemler

interfacetopbar_tooltip_gametime                Toplam oynanılan süre : *X saat, *Y dakika, *Z saniye

interfacetopbar_tooltip_totalguards             *X toplam koruma
interfacetopbar_tooltip_guardincapacitated      *X Alıkoyulmuş
interfacetopbar_tooltip_guardstationed          *X Konuşlandırılmış
interfacetopbar_tooltip_guardpatrolling         *X Devriyede
interfacetopbar_tooltip_guardavailable          *X Mevcut
interfacetopbar_tooltip_guardresting            *X Dinleniyor
interfacetopbar_tooltip_guardonbreak            *X Molada
interfacetopbar_tooltip_guardwantsabreak        (*X kişiye mola gerek)
interfacetopbar_tooltip_guardactive             (*X Kişi olaylara cevap veriyor)
interfacetopbar_tooltip_guarddoingjob           *X Kişi iş yapıyor
interfacetopbar_tooltip_idle                    (*X kişi boşta)
interfacetopbar_tooltip_guardsstriking          *X KİŞİ SALDIRIDA

interfacetopbar_tooltip_regularguards			*X normal Koruma bulunuyor
interfacetopbar_tooltip_armedguards             *X Silahlı Koruma bulunuyor
interfacetopbar_tooltip_dogs                    *X Köpek Eğitmeni bulunuyor
interfacetopbar_tooltip_snipers					*X Keskin Nişancı bulunuyor

interfacetopbar_unlimitedfunds                  SINIRSIZ FON
interfacetopbar_cheatsenabled					HİLELER AKTİF

interfacetopbar_budget_moneyin					Gelen para: $*M /günde
interfacetopbar_budget_moneyout					Giden para: $*M /günde
interfacetopbar_budget_cantgonegative           Finansal işlemlerinizi yönetecek bir Muhasebeciyi işe almadığınız sürece negatif para akışınız (yani giderlerinizin gelirlerinizden fazla olması) olamaz.

interfacetopbar_prisoners_types					Şu anki mevcut *X adet Makhum:
interfacetopbar_prisoners_capacity              En yüksek güvenlik kapasitesi: *X
interfacetopbar_prisonercells_shared            Paylaşımlı kapasite: *X
interfacetopbar_prisonercells_unlocked          Açılan kapasite: *X
interfacetopbar_prisonercells_minseconly        En düşük kapasite: *X
interfacetopbar_prisonercells_medseconly        Ortalama kapasite: *X
interfacetopbar_prisonercells_maxseconly        En yüksek kapasite: *X
interfacetopbar_prisonercells_protectedonly     İhtiyati kapasitesi: *X
interfacetopbar_prisonercells_supermaxonly      SüperMaks kapasitesi: *X
interfacetopbar_prisonercells_deathrowonly      Ölüm-Mahkumları kapasitesi: *X
interfacetopbar_prisonercells_staffonly         Mevcut Olmayan: *X
interfacetopbar_prisoners_nocells               *X adet Mahkum bir hücreye atanamıyor
interfacetopbar_prisonercells_parents           Ebeveyn Kapasitesi: *X

interfacetopbar_cctv_current					Şu anda *C Kamera çalışır durumda
interfacetopbar_cctv_cap						*C adet kamera için boşluk var

interfacetopbar_tension_currentlevel            Tehlike seviyesi *X
interfacetopbar_tension_currentlevellow         Düşük
interfacetopbar_tension_currentlevelmedium      Orta
interfacetopbar_tension_currentlevelhigh        Yüksek
interfacetopbar_tension_increasing              ve yükseliyor
interfacetopbar_tension_decreasing              ve düşüyor
interfacetopbar_tension_description             NEDENLER:
interfacetopbar_tension_happyprisoners          - *X mahkum iyi muamele gördüğünü söylüyor
interfacetopbar_tension_unhappyprisoners        + *X mahkumun ciddi şikayetleri var
interfacetopbar_tension_lockedupprisoners       + *X mahkum hücrelerinde zincirlenmiş veya yalnızlık içinde
interfacetopbar_tension_riotingprisoners        + *X mahkum isyan ediyor
interfacetopbar_tension_wellfedprisoners        - *X makhum iyi beslenmiş
interfacetopbar_tension_suppressedprisoners     = *X mahkum bastırıldı (şikayet)
interfacetopbar_tension_activeriotguards        + *X çevik kuvvet sahada bulunuyor
interfacetopbar_tension_activearmedguards       + *X silahlı koruma hizmet başında
interfacetopbar_tension_recentdeaths            + *X kişi yakın zamanda öldürüldü
interfacetopbar_tension_recentsearches          + *X mahkum yakın zamanda gereksiz yere arandı
interfacetopbar_tension_angrygangmembers        + *X ÇETE LİDERI ÖFKELİ (lider cezalandırılıyor)
interfacetopbar_tension_recentpunishments       = (CAYDIRICI) *X cezaya yakın zamanda karar verildi
interfacetopbar_tension_recentcalmed            - *X mahkum yakın zamanda sakinleştirildi
interfacetopbar_tension_staffmorale_low			+ Personel morali düşük
interfacetopbar_tension_staffmorale_high		- Personal morali yüksek
interfacetopbar_tension_staffonstrike           + Personalleriniz saldırıda
interfacetopbar_tension_dangerzone				+ TEHLIKELI BÖLGE!
interfacetopbar_tension_hoursonrollcall         + Mahkumlarınız yoklama konusunda sinirli

interfacetopbar_staffmorale_title				PERSONAL MORALI
interfacetopbar_staffmorale_happystaff			+ *X personal işlerinden memnun
interfacetopbar_staffmorale_unhappystaff		- *X personalin ciddi şikayeti var
interfacetopbar_staffmorale_injuredstaff		- *X personal yaralandı
interfacetopbar_staffmorale_staffdeaths			- *X personal görevi sırasında öldü
interfacetopbar_staffmorale_staffpayverygood	+ Personal çok iyi ödeme alıyor
interfacetopbar_staffmorale_staffpaygood		+ Personal iyi ödeme alıyor
interfacetopbar_staffmorale_staffpaybad 		- Personal yeteri kadar ödeme almıyor

interfacecontrol_mainmenu                       Ana Menü (Esc)
interfacecontrol_mainmenu_tooltip               Ana Menü'ye geçiş yap (Yeni/Yükle/Kaydet/Çıkış vs)
interfacecontrol_todo                           Yapılacaklar listesi
interfacecontrol_todo_tooltip                   Yapılacaklar listesine geç
interfacecontrol_research                       Bürokrasi
interfacecontrol_research_tooltip               Bürokrasi ekranını açar, yeni tesisler, personal tipleri ve yönetiminizi atayarak yeni eşyalar açabileceğiniz yerdir.
interfacecontrol_grading                        Hapishane Derecelendirme
interfacecontrol_grading_tooltip                Hapishane Derecelendirme ekranını açar, burası sizin genel başarı derecenizi gösterir.
interfacecontrol_graphs                         Grafikler
interfacecontrol_graphs_tooltip                 Grafik ekranını açar, burası hapishanenizin çeşitli yönlerdeki grafiklerini karşılaştırmanıza izin verir.

interface_confirmlandbuy                        Bu arsayı $*X paraya almak istediğinizden emin misiniz ?
interface_loadconfirm                           Bu haritayı yüklemek istediğinizden emin misiniz ? Kaydedilmemiş bütün ilerleme kaybedilecek.
